# KOSDAQ 시총 5천억↑ (자동 갱신 2026.09.22)
# 종목코드,종목명,업종
196170,알테오젠,기타
086520,에코프로,기타
247540,에코프로비엠,기타
036930,주성엔지니어링,기타
277810,레인보우로보틱스,기타
240810,원익IPS,기타
039030,이오테크닉스,기타
058470,리노공업,기타
222800,심텍,기타
403870,HPSP,기타
095340,ISC,기타
108490,로보티즈,기타
028300,HLB,기타
319660,피에스케이,기타
000250,삼천당제약,기타
440110,파두,기타
084370,유진테크,기타
031980,피에스케이홀딩스,기타
214450,파마리서치,기타
087010,펩트론,기타
064760,티씨케이,기타
131290,티에스이,기타
067310,하나마이크론,기타
141080,리가켐바이오,기타
095610,테스,기타
298380,에이비엘바이오,기타
310210,보로노이,기타
010170,대한광통신,기타
257720,실리콘투,기타
357780,솔브레인,기타
080220,제주반도체,기타
140410,메지온,기타
145020,휴젤,기타
319400,현대무벡스,기타
226950,올릭스,기타
032820,우리기술,기타
058610,에스피지,기타
005290,동진쎄미켐,기타
263750,펄어비스,기타
214370,케어젠,기타
030530,원익홀딩스,기타
043260,성호전자,기타
178320,서진시스템,기타
214150,클래시스,기타
347850,디앤디파마텍,기타
083650,비에이치아이,기타
098460,고영,기타
237690,에스티팜,기타
041510,에스엠,기타
131970,두산테스나,기타
140860,파크시스템스,기타
089030,테크윙,기타
068760,셀트리온제약,기타
060370,LS마린솔루션,기타
036540,SFA반도체,기타
437730,삼현,기타
007390,네이처셀,기타
096530,씨젠,기타
183300,코미코,기타
218410,RFHIC,기타
089970,브이엠,기타
420770,기가비스,기타
204270,제이앤티씨,기타
323280,태성,기타
039200,오스코텍,기타
0009K0,에임드바이오,기타
078600,대주전자재료,기타
241710,코스메카코리아,기타
035900,JYP Ent.,기타
082920,비츠로셀,기타
950160,코오롱티슈진,기타
290650,엘앤씨바이오,기타
003380,하림지주,기타
127120,제이에스링크,기타
232140,와이씨,기타
347700,스피어,기타
166090,하나머티리얼즈,기타
195940,HK이노엔,기타
950260,인제니아테라퓨틱스(Reg.S),기타
252990,샘씨엔에스,기타
356860,티엘비,기타
056190,SFA,기타
458870,씨어스,기타
293490,카카오게임즈,기타
100790,미래에셋벤처투자,기타
101490,에스앤에스텍,기타
086450,동국제약,기타
083450,GST,기타
119850,지엔씨에너지,기타
417200,LS머트리얼즈,기타
160190,하이젠알앤엠,기타
327260,RF머트리얼즈,기타
014620,성광벤드,기타
065350,신성델타테크,기타
099320,쎄트렉아이,기타
035760,CJ ENM,기타
115180,큐리언트,기타
031330,에스에이엠티,기타
445680,큐리옥스바이오시스템즈,기타
388210,씨엠티엑스,기타
388720,유일로보틱스,기타
032500,케이엠더블유,기타
036830,솔브레인홀딩스,기타
122870,와이지엔터테인먼트,기타
425420,티에프이,기타
053800,안랩,기타
044490,태웅,기타
090360,로보스타,기타
033100,제룡전기,기타
090710,휴림로봇,기타
032190,다우데이타,기타
074600,원익QnC,기타
161580,필옵틱스,기타
059090,미코,기타
295310,에이치브이엠,기타
041830,인바디,기타
491000,리브스메드,기타
189300,인텔리안테크,기타
041960,코미팜,기타
085660,차바이오텍,기타
038500,삼표시멘트,기타
328130,루닛,기타
225570,넥슨게임즈,기타
476830,알지노믹스,기타
251970,펌텍코리아,기타
064290,인텍플러스,기타
213420,덕산네오룩스,기타
466100,클로봇,기타
171090,선익시스템,기타
023160,태광,기타
281740,레이크머티리얼즈,기타
006730,서부T&D,기타
137400,피엔티,기타
093320,케이아이엔엑스,기타
122640,예스티,기타
124500,아이티센글로벌,기타
476060,온코닉테라퓨틱스,기타
048410,현대바이오,기타
053610,프로텍,기타
036810,에프에스티,기타
033640,네패스,기타
121600,나노신소재,기타
033790,피노,기타
102710,이엔에프테크놀로지,기타
253450,스튜디오드래곤,기타
046890,서울반도체,기타
222080,SFA넥셀,기타
126340,비나텍,기타
253590,네오셈,기타
050890,쏠리드,기타
050890,쏠리드,기타
077360,덕산하이메탈,기타
094170,동운아나텍,기타
475830,오름테라퓨틱,기타
045100,한양이엔지,기타
079940,가비아,기타
052400,코나아이,기타
399720,가온칩스,기타
490470,세미파이브,기타
025980,아난티,기타
456160,지투지바이오,기타
060250,NHN KCP,기타
144960,뉴파워프라즈마,기타
009520,포스코엠텍,기타
112040,위메이드,기타
052020,에스티큐브,기타
101160,월덱스,기타
092870,엑시콘,기타
