# KOSPI 200 구성종목 (시가총액 상위 200, 2026.09 기준)
# 종목코드,종목명,업종
005930,삼성전자,반도체
000660,SK하이닉스,반도체
402340,SK스퀘어,지주
009150,삼성전기,전자부품
373220,LG에너지솔루션,2차전지
005380,현대차,자동차
207940,삼성바이오로직스,바이오
105560,KB금융,금융
028260,삼성물산,지주/건설
012450,한화에어로스페이스,방산/항공
000270,기아,자동차
035420,NAVER,IT/플랫폼
055550,신한지주,금융
086790,하나금융지주,금융
034730,SK,지주
003550,LG,지주
267260,HD현대일렉트릭,전기장비
017670,SK텔레콤,통신
066570,LG전자,전자/가전
030200,KT,통신
068270,셀트리온,바이오
051910,LG화학,화학
000810,삼성화재,보험
032830,삼성생명,보험
316140,우리금융지주,금융
006400,삼성SDI,2차전지
005490,POSCO홀딩스,철강
035720,카카오,IT/플랫폼
267250,HD현대,지주/조선
259960,크래프톤,게임
033780,KT&G,소비재
012330,현대모비스,자동차부품
018260,삼성에스디에스,IT서비스
010130,고려아연,비철금속
003490,대한항공,항공
010120,LS ELECTRIC,전기장비
006260,LS,전기장비
047050,포스코인터내셔널,무역
034020,두산에너빌리티,원전/에너지
042660,한화오션,조선
272210,한화시스템,방산
009540,HD한국조선해양,조선
000720,현대건설,건설
326030,SK바이오팜,바이오
180640,한진칼,지주/항공
011200,HMM,해운
028670,팬오션,해운
096770,SK이노베이션,에너지
090430,아모레퍼시픽,소비재
051900,LG생활건강,소비재
004020,현대제철,철강
036570,엔씨소프트,게임
003670,포스코퓨처엠,2차전지
302440,SK바이오사이언스,바이오
139480,이마트,유통
021240,코웨이,가전/렌탈
009830,한화솔루션,화학/에너지
011780,금호석유화학,화학
097950,CJ제일제당,식품
271560,오리온,식품
000150,두산,지주
006360,GS건설,건설
004170,신세계,유통
023530,롯데쇼핑,유통
069960,현대백화점,유통
003620,쌍용C&E,시멘트
011170,롯데케미칼,화학
006280,녹십자,바이오
138040,메리츠금융지주,금융
006800,미래에셋증권,증권
016360,삼성증권,증권
008560,메리츠화재,보험
005830,DB손해보험,보험
000100,유한양행,바이오
036460,한국가스공사,에너지
015760,한국전력,전력
010140,삼성중공업,조선
329180,HD현대중공업,조선
241560,두산밥캣,기계
111770,영원무역,섬유/의류
000880,한화,방산/지주
002380,KCC,건자재
004990,롯데지주,지주
001440,대한전선,전기장비
051600,한전KPS,전력서비스
003690,코리안리,보험
005940,NH투자증권,증권
078930,GS,지주
071050,한국금융지주,금융
024110,기업은행,금융
029780,삼성카드,카드
005850,에스엘,자동차부품
035250,강원랜드,레저
020150,일진머티리얼즈,소재
128940,한미약품,바이오
000990,DB하이텍,반도체
001120,LX인터내셔널,무역
004000,롯데정밀화학,화학
006650,대한유화,화학
011790,SKC,화학
052690,한전기술,전력서비스
073240,금호타이어,타이어
009420,한올바이오파마,바이오
034220,LG디스플레이,디스플레이
004370,농심,식품
282330,BGF리테일,유통
006120,SK디스커버리,지주
007070,GS리테일,유통
383220,F&F,패션
010620,현대미포조선,조선
192820,코스맥스,화장품
018880,한온시스템,자동차부품
002790,아모레G,소비재
000240,한국타이어앤테크놀로지,타이어
003240,태광산업,화학/섬유
120110,코오롱인더,화학/소재
004800,효성,지주
008060,대덕전자,전자부품
039130,하나투어,레저
026960,동서,식품
100840,SNT에너지,에너지/플랜트
007310,오뚜기,식품
008770,호텔신라,레저/면세
014820,동원시스템즈,포장/소재
001230,동국제강,철강
010950,S-Oil,정유
267270,HD현대인프라코어,기계
005300,롯데칠성음료,식품/음료
011210,현대위아,자동차부품
000120,CJ대한통운,물류
003850,보령,바이오
192400,쿠쿠홀딩스,가전
005880,대한해운,해운
001800,오리온홀딩스,식품/지주
336260,두산퓨얼셀,수소/에너지
298020,효성티앤씨,화학/섬유
047810,한국항공우주,방산/항공
064350,현대로템,방산/철도
112610,씨에스윈드,풍력
025860,남해화학,화학
200880,서연이화,자동차부품
004490,세방전지,배터리
020000,한섬,패션
003230,삼양식품,식품
088350,한화생명,보험
032640,LG유플러스,통신
060250,NHN,IT서비스
003030,세아제강,철강/파이프
001680,대상,식품
161390,한국타이어앤테크놀로지,타이어
005720,넥센,타이어
023590,다우기술,IT
004910,조광페인트,화학
008350,남선알미늄,비철금속
009240,한샘,가구
016800,퍼시스,가구
003960,사조대림,식품
002210,동성화인텍,소재
033240,자화전자,전자부품
005180,빙그레,식품
014680,한솔케미칼,화학
093370,후성,화학
001040,CJ,지주
241840,에이치엘비,바이오
000080,하이트진로,식품/음료
006890,태경케미컬,화학
016710,대성홀딩스,에너지
084690,대상홀딩스,식품/지주
009310,칩스앤미디어,반도체
095570,AJ네트웍스,렌탈
007340,DN오토모티브,자동차부품
001530,DI동일,섬유
036830,솔브레인홀딩스,화학/소재
005610,SPC삼립,식품
004830,덕성,화학
010060,OCI홀딩스,화학/에너지
006840,AK홀딩스,지주
008930,한미사이언스,바이오
019170,신풍제약,바이오
007110,일신방직,섬유
003000,부광약품,바이오
005070,코스모신소재,2차전지소재
000210,DL,지주
001510,SK증권,증권
003540,대신증권,증권
000640,동아쏘시오홀딩스,바이오/지주
001450,현대해상,보험
006390,한화투자증권,증권
001790,대한제당,식품
000070,삼양홀딩스,지주
017940,E1,에너지
002350,넥센타이어,타이어
005960,동부건설,건설
002840,미원상사,화학
003570,SNT다이내믹스,방산
014830,유니드,화학
008250,이건산업,건자재
000480,조선내화,내화물
023000,삼원강재,철강
004150,한솔제지,펄프/제지
